text,label
Send RSVP to wedding,Reminder
Start learning a musical instrument,Idea
Prepare monthly budget,Work
Cut down on sugar intake,Health
Sync with design team at noon,Work
Buy birthday card,Shopping
Update LinkedIn profile,Task
Sketch UI for new portfolio,Idea
Check tire pressure,Task
Develop a recipe website,Idea
Deploy the latest release,Work
Get a new backpack,Shopping
Charge the camera,Reminder
Drink green tea daily,Health
Schedule team 1-on-1s,Work
Build a budgeting tool,Idea
Check deals on smartwatches,Shopping
Replace batteries in the remote,Task
Track sleep schedule,Health
Restock kitchen supplies,Shopping
Check deals on smartwatches,Shopping
Cut down on sugar intake,Health
Draft a comic strip,Idea
Check mailbox,Reminder
Build a budgeting tool,Idea
Clean the garage,Task
Design an AI chatbot,Idea
Email feedback to marketing team,Work
Walk the dog in the evening,Task
Get a new backpack,Shopping
Order face masks,Shopping
Charge the camera,Reminder
Deploy the latest release,Work
Company offsite next month,Event
Set alarm for early morning jog,Reminder
Attend art exhibition downtown,Event
Concert next Wednesday,Event
Concert next Wednesday,Event
Track sleep schedule,Health
Schedule eye checkup,Health
Drink green tea daily,Health
Check deals on smartwatches,Shopping
Review lecture slides,Study
Order new phone charger,Shopping
Draft a comic strip,Idea
Launch a digital magazine,Idea
Organize files in shared drive,Work
Try a vegan recipe,Health
Finish reading physics chapter,Study
Weekend hiking trip,Event
Clean the garage,Task
Clean the garage,Task
Charge the camera,Reminder
Refill prescription medication,Task
Order face masks,Shopping
Attend art exhibition downtown,Event
Check tire pressure,Task
Return library books,Reminder
Buy birthday card,Shopping
Buy birthday card,Shopping
Check tire pressure,Task
Launch a digital magazine,Idea
Draft a comic strip,Idea
Review lecture slides,Study
Company offsite next month,Event
Join local photography walk,Event
Update LinkedIn profile,Task
Develop a recipe website,Idea
Take notes during the lecture,Study
Cut down on sugar intake,Health
Sync with design team at noon,Work
Memorize formulas for math test,Study
Start learning a musical instrument,Idea
Buy birthday card,Shopping
Walk the dog in the evening,Task
Concert next Wednesday,Event
Family dinner on Sunday,Event
Research blockchain for assignment,Study
Order face masks,Shopping
Add fitness band to wishlist,Shopping
Organize files in shared drive,Work
Do strength training,Health
Backup phone data,Reminder
"Walk 10,000 steps",Health
Cut down on sugar intake,Health
Finish reading physics chapter,Study
Add fitness band to wishlist,Shopping
Remind team about deadline,Reminder
Hackathon on campus,Event
Backup phone data,Reminder
Order face masks,Shopping
Develop a recipe website,Idea
Send RSVP to wedding,Reminder
Refill prescription medication,Task
Build a budgeting tool,Idea
Get a new backpack,Shopping
Finish reading physics chapter,Study
Replace batteries in the remote,Task
Review lecture slides,Study
Set alarm for early morning jog,Reminder
Order face masks,Shopping
"Walk 10,000 steps",Health
Try a vegan recipe,Health
Restock kitchen supplies,Shopping
Remind team about deadline,Reminder
Replace batteries in the remote,Task
Email feedback to marketing team,Work
Check tire pressure,Task
Refactor old codebase,Work
Get a new backpack,Shopping
Restock kitchen supplies,Shopping
Attend art exhibition downtown,Event
Buy anniversary gift,Reminder
Meditate for 10 minutes daily,Health
Review lecture slides,Study
Organize the bookshelf,Task
Backup phone data,Reminder
Take notes during the lecture,Study
Take a break from screen every hour,Health
Replace batteries in the remote,Task
Browse book recommendations,Shopping
Organize the bookshelf,Task
Meditate for 10 minutes daily,Health
Organize files in shared drive,Work
Hackathon on campus,Event
Prepare dinner for guests,Task
Charge the camera,Reminder
Write a short story every week,Idea
Finish reading physics chapter,Study
Get a new backpack,Shopping
Organize the bookshelf,Task
Update README file,Work
Update LinkedIn profile,Task
Memorize formulas for math test,Study
Restock kitchen supplies,Shopping
Drink green tea daily,Health
Write a short story every week,Idea
Drink green tea daily,Health
Review lecture slides,Study
Water the garden,Task
Track sleep schedule,Health
Draft a comic strip,Idea
Research blockchain for assignment,Study
Practice SQL queries,Study
Meditate for 10 minutes daily,Health
Email feedback to marketing team,Work
Add fitness band to wishlist,Shopping
Write a short story every week,Idea
Board game night,Event
Family dinner on Sunday,Event
Order new phone charger,Shopping
Design an AI chatbot,Idea
Update README file,Work
Email feedback to marketing team,Work
Develop a recipe website,Idea
Start learning a musical instrument,Idea
Board game night,Event
Start learning a musical instrument,Idea
Get a new backpack,Shopping
Attend virtual book club,Event
Board game night,Event
Write an essay on climate change,Study
Email feedback to marketing team,Work
Drink green tea daily,Health
Hackathon on campus,Event
Text Emma about the dinner plan,Reminder
Return library books,Reminder
Cut down on sugar intake,Health
Create a journaling app,Idea
Weekend hiking trip,Event
Attend virtual book club,Event
Schedule a car wash,Task
Watch online tutorials for statistics,Study
Replace batteries in the remote,Task
Schedule a car wash,Task
Build a budgeting tool,Idea
Schedule a car wash,Task
Design an AI chatbot,Idea
Compare travel bags,Shopping
Try a vegan recipe,Health
Design an AI chatbot,Idea
Write quarterly review,Work
Go for annual blood test,Health
Concert next Wednesday,Event
Return library books,Reminder
Remind team about deadline,Reminder
Update README file,Work
Write a short story every week,Idea
Walk the dog in the evening,Task
Add fitness band to wishlist,Shopping
Weekend hiking trip,Event
Add fitness band to wishlist,Shopping
Research blockchain for assignment,Study
Weekend hiking trip,Event
Restock kitchen supplies,Shopping
Email feedback to marketing team,Work
Company offsite next month,Event
Fix UI alignment issues,Work
Walk the dog in the evening,Task
Buy winter clothes online,Shopping
Hackathon on campus,Event
Develop a recipe website,Idea
Email feedback to marketing team,Work
Go for annual blood test,Health
Launch a digital magazine,Idea
Join local photography walk,Event
Browse book recommendations,Shopping
Watch online tutorials for statistics,Study
Do strength training,Health
Deploy the latest release,Work
Walk the dog in the evening,Task
Send RSVP to wedding,Reminder
Attend art exhibition downtown,Event
Summarize psychology readings,Study
Develop a recipe website,Idea
Buy winter clothes online,Shopping
Schedule eye checkup,Health
Refill prescription medication,Task
Refill prescription medication,Task
Organize files in shared drive,Work
Organize the bookshelf,Task
Prepare monthly budget,Work
Do strength training,Health
Schedule a car wash,Task
Water the garden,Task
Browse book recommendations,Shopping
Concert next Wednesday,Event
Prepare dinner for guests,Task
Develop a recipe website,Idea
Order face masks,Shopping
Sync with design team at noon,Work
Go for annual blood test,Health
Create flashcards for biology,Study
Design an AI chatbot,Idea
Restock kitchen supplies,Shopping
Write an essay on climate change,Study
Organize the bookshelf,Task
Write a short story every week,Idea
Build a budgeting tool,Idea
Write an essay on climate change,Study
Practice SQL queries,Study
Review lecture slides,Study
Watch online tutorials for statistics,Study
Fix UI alignment issues,Work
Write quarterly review,Work
Try a vegan recipe,Health
Order new phone charger,Shopping
Charge the camera,Reminder
Add fitness band to wishlist,Shopping
Board game night,Event
Walk the dog in the evening,Task
Board game night,Event
Check deals on smartwatches,Shopping
Research blockchain for assignment,Study
Message tutor for extra class,Reminder
